entry_ts,exit_ts,side,qty,entry,exit,pnl,gross,reason,bars_held,regime
2025-12-12 14:41:00+05:30,2025-12-12 15:01:00+05:30,BUY,2,59354.799999999996,59389.450000000004,999.5000000002619,1039.500000000262,TARGET,20,CHOP
2025-12-23 11:34:00+05:30,2025-12-23 11:49:00+05:30,BUY,2,59287.15,59242.1,-1391.5000000000873,-1351.5000000000873,TIME,15,RANGE
2025-12-24 12:44:00+05:30,2025-12-24 12:52:00+05:30,BUY,2,59320.1,59318.4,-90.99999999991269,-50.99999999991269,TIME,8,RANGE
2026-01-05 11:12:00+05:30,2026-01-05 11:15:00+05:30,BUY,2,60282.65,60314.55,917.0000000000437,957.0000000000437,TARGET,3,RANGE
2026-01-05 11:21:00+05:30,2026-01-05 11:41:00+05:30,BUY,2,60255.9,60213.65,-1307.5,-1267.5,TARGET,20,CHOP
2026-01-05 12:44:00+05:30,2026-01-05 12:52:00+05:30,BUY,2,60206.4,60237.15,882.5,922.5,TARGET,8,RANGE
2026-01-09 12:35:00+05:30,2026-01-09 12:55:00+05:30,BUY,2,59307.4,59305.8,-87.99999999995634,-47.999999999956344,TIME,20,RANGE
2026-01-09 14:43:00+05:30,2026-01-09 14:45:00+05:30,BUY,2,59185.5,59211.55,741.5000000000873,781.5000000000873,TARGET,2,RANGE
2026-01-12 14:08:00+05:30,2026-01-12 14:25:00+05:30,BUY,2,59409.1,59459.5,1472.0000000000437,1512.0000000000437,TARGET,17,RANGE
2026-01-13 12:48:00+05:30,2026-01-13 13:05:00+05:30,BUY,2,59510.15,59379.9,-3947.5,-3907.5,TIME,17,TREND
2026-01-16 11:32:00+05:30,2026-01-16 11:40:00+05:30,SELL,2,60106.8,60022.049999999996,2502.5000000002183,2542.5000000002183,TARGET,8,CHOP
2026-01-16 14:35:00+05:30,2026-01-16 14:44:00+05:30,SELL,2,60083.950000000004,60104.6,-659.4999999998254,-619.4999999998254,TIME,9,RANGE
2026-01-22 13:37:00+05:30,2026-01-22 13:51:00+05:30,SELL,2,59038.05,59053.5,-503.4999999999127,-463.4999999999127,TIME,14,RANGE
2026-01-23 11:15:00+05:30,2026-01-23 11:26:00+05:30,SELL,2,59207.8,59115.2,2738.0000000001746,2778.0000000001746,TARGET,11,RANGE
2026-01-28 11:26:00+05:30,2026-01-28 11:38:00+05:30,SELL,2,59660.700000000004,59588.5,2126.000000000131,2166.000000000131,TARGET,12,RANGE
2026-02-02 13:00:00+05:30,2026-02-02 13:27:00+05:30,SELL,2,58256.75,58076.799999999996,5358.500000000131,5398.500000000131,TIME,27,RANGE
2026-02-05 12:14:00+05:30,2026-02-05 12:31:00+05:30,BUY,2,60016.1,60014.05,-101.49999999986903,-61.49999999986903,TIME,17,CHOP
2026-02-11 11:10:00+05:30,2026-02-11 11:22:00+05:30,BUY,2,60606.9,60645.0,1102.9999999999563,1142.9999999999563,TIME,12,RANGE
2026-02-12 10:49:00+05:30,2026-02-12 11:08:00+05:30,BUY,2,60788.15,60816.15,800.0,840.0,TIME,19,RANGE
2026-02-12 12:34:00+05:30,2026-02-12 12:48:00+05:30,SELL,2,60751.4,60744.0,182.00000000004366,222.00000000004366,TIME,14,CHOP
